Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128
2,5,1,2,1,1,16,2,1,1,1,1,2,4,4,3,4,2,19,1,1,14,2,19,2,3,15,3,12,14,5,1,6,1,1,4,4,5,5,1,18,19,3,1,4,9,1,1,1,2,18,1,1,2,1,1,3,19,2,1,1,2,3,1,3,5,2,5,2,1,1,13,7,1,3,1,2,1,1,1,5,1,1,5,6,5,13,1,1,9,5,5,2,1,1,1,1,3,1,1,1,2,5,3,1,18,1,1,12,20,2,13,8,2,2,1,5,2,2,5,1,5,2,3,2,1,1,4
2,5,1,2,1,1,16,2,1,1,1,1,2,4,4,3,4,2,19,1,1,14,2,19,2,3,15,3,12,14,5,1,6,1,1,4,4,5,5,1,18,19,3,1,4,9,1,1,1,2,18,1,1,2,1,1,3,19,2,1,1,2,3,1,3,5,2,5,2,1,1,13,7,1,3,1,2,1,1,1,5,1,1,5,6,5,13,1,1,5,5,5,2,1,1,1,1,3,1,1,1,2,5,3,1,18,1,1,12,20,2,13,8,2,2,1,5,2,2,5,1,5,2,3,2,1,1,4
1,1,1,5,1,1,1,4,6,1,7,2,3,7,2,1,3,7,12,1,1,12,5,12,4,2,1,4,2,12,1,1,3,2,2,2,7,4,2,1,8,9,1,1,2,1,1,1,1,6,22,1,2,5,1,1,4,12,5,2,1,1,4,1,1,1,3,1,7,1,1,9,3,1,7,1,4,1,1,2,1,1,2,3,1,1,1,2,2,3,2,1,1,2,2,2,1,5,1,1,1,6,2,5,1,2,1,1,9,1,6,1,2,4,4,2,1,5,4,3,2,2,4,6,7,1,1,2
3,6,1,1,1,1,10,3,2,1,6,3,3,5,1,2,1,1,11,1,1,9,1,11,1,1,10,1,7,9,8,1,12,1,2,8,6,1,7,1,9,12,2,1,2,2,1,1,1,1,10,1,1,1,1,1,1,11,1,3,1,3,2,1,2,9,4,2,1,1,1,7,1,1,2,1,1,1,1,3,8,1,3,2,5,8,4,1,1,2,7,8,3,1,1,1,1,1,1,1,1,6,7,4,1,10,1,1,3,10,1,11,4,1,1,3,8,1,3,7,1,8,1,1,1,1,1,6
1,1,1,5,1,1,1,1,3,1,2,2,1,10,2,1,3,3,6,1,1,5,3,6,3,2,1,4,2,5,1,1,9,2,2,2,1,3,2,1,5,6,1,1,1,1,1,1,1,6,4,1,2,3,1,1,4,6,5,2,1,1,1,1,1,1,3,1,3,1,1,5,3,1,1,1,4,1,1,2,1,1,2,3,1,1,1,2,2,3,2,1,1,2,2,2,1,5,1,1,1,1,2,5,1,7,1,1,6,1,3,1,2,4,3,2,1,3,1,3,2,2,3,6,3,1,1,2
3,13,1,5,1,1,9,3,6,1,6,3,3,7,7,2,3,7,3,1,1,11,1,3,1,1,5,1,8,10,12,1,12,1,2,12,6,1,10,1,3,3,2,1,2,10,1,1,1,1,6,1,1,5,1,1,1,3,5,3,1,3,2,1,1,13,3,12,1,1,1,2,3,1,7,1,1,1,1,3,12,1,3,6,5,12,6,1,2,2,7,12,3,1,2,1,1,1,1,1,1,6,10,7,1,2,1,1,7,7,1,7,4,1,1,3,11,5,3,9,1,6,1,1,1,1,1,12
2,5,1,2,1,1,16,2,1,1,1,1,2,4,4,3,4,2,19,1,1,14,2,19,2,3,15,3,12,14,5,1,6,1,1,4,4,5,5,1,18,19,3,1,4,9,1,1,1,2,18,1,1,2,1,1,3,19,2,1,1,2,3,1,3,5,2,5,2,1,1,13,7,1,3,1,2,1,1,1,5,1,1,5,6,5,13,1,1,5,5,5,2,1,1,1,1,3,1,1,1,2,5,3,1,18,1,1,12,20,2,13,8,2,2,1,5,2,2,5,1,5,2,3,2,1,1,4
3,21,1,7,1,1,7,3,4,1,4,3,6,22,12,2,7,8,34,1,1,31,1,34,1,1,26,8,30,31,23,1,16,1,1,28,8,8,29,1,23,23,2,1,2,16,1,1,1,1,27,1,1,6,1,1,9,34,7,3,1,3,2,1,2,22,9,18,8,1,1,34,10,1,2,1,8,1,1,3,23,1,3,17,10,23,31,1,1,10,9,23,3,1,1,1,1,8,1,1,1,3,29,8,1,35,1,1,35,34,1,31,5,8,7,3,24,6,3,27,1,23,1,1,1,1,1,29
4,8,1,4,1,1,20,4,5,1,3,1,4,9,6,2,5,4,33,1,1,35,5,33,4,4,21,6,10,35,4,1,10,1,1,17,3,7,21,1,21,33,2,1,3,8,1,1,1,4,5,1,1,4,1,1,6,33,4,1,1,4,4,1,2,6,6,15,4,1,1,20,6,1,4,1,6,1,1,4,4,1,1,12,4,4,15,1,1,4,13,4,2,1,1,1,1,6,1,1,1,4,21,2,1,21,1,1,14,13,5,15,9,4,4,1,9,4,4,15,1,12,4,2,6,1,1,27
3,3,1,1,1,1,4,3,2,1,4,3,3,1,1,2,1,1,2,1,1,1,1,2,1,1,2,1,4,1,2,1,1,1,1,3,2,1,3,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,3,2,1,2,3,4,2,1,1,1,1,1,1,2,1,1,1,1,3,2,1,3,2,3,2,3,1,1,2,3,2,3,1,1,1,1,1,1,1,1,3,3,4,1,1,1,1,2,2,1,3,3,1,1,3,3,1,3,1,1,4,1,1,1,1,1,3
4,16,1,7,1,1,19,4,7,1,3,3,4,16,15,3,5,5,32,1,1,32,6,32,6,1,22,7,16,32,19,1,10,1,1,18,8,6,14,1,37,26,2,1,3,5,1,1,1,4,30,1,1,7,1,1,7,32,4,1,1,4,3,1,3,16,7,11,6,1,1,23,12,1,6,1,7,1,1,1,19,1,1,9,14,19,27,1,1,10,20,19,2,1,1,1,1,7,1,1,1,3,14,10,1,36,1,1,22,13,5,30,11,5,6,1,20,8,4,17,1,9,6,2,5,1,1,19
4,24,1,4,1,1,24,4,5,1,7,1,5,23,16,3,10,4,25,1,1,26,5,25,4,4,24,6,27,26,20,1,17,1,1,21,3,7,22,1,24,27,3,1,3,15,1,1,1,4,23,1,1,4,1,1,6,25,4,1,1,4,4,1,3,21,10,17,4,1,1,28,13,1,4,1,6,1,1,4,20,1,1,10,16,20,24,1,1,11,22,20,2,1,1,1,1,6,1,1,1,4,22,12,1,29,1,1,23,24,5,26,14,4,4,1,22,4,4,24,1,18,4,2,6,1,1,23
3,10,1,7,1,1,7,3,4,1,4,3,6,3,9,2,1,6,17,1,1,3,1,17,1,1,18,8,5,3,21,1,16,1,1,16,2,8,17,1,20,17,3,1,2,11,1,1,1,1,20,1,1,1,1,1,8,17,6,3,1,3,2,1,2,10,8,7,1,1,1,44,5,1,2,1,9,1,1,3,26,1,3,8,11,26,8,1,1,7,9,26,3,1,1,1,1,8,1,1,1,3,17,9,1,5,1,1,5,22,1,5,10,8,7,3,10,6,3,10,1,24,1,1,1,1,1,7
3,3,1,1,1,1,4,3,2,1,4,3,3,1,1,2,1,1,2,1,1,1,1,2,1,1,2,1,4,1,2,1,1,1,1,3,2,1,3,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,3,2,1,2,3,4,2,1,1,1,1,1,1,2,1,1,1,1,3,2,1,3,2,3,2,3,1,1,2,3,2,3,1,1,1,1,1,1,1,1,3,3,4,1,1,1,1,2,2,1,3,3,1,1,3,3,1,3,1,1,4,1,1,1,1,1,3
3,3,1,1,1,1,4,3,2,1,4,3,3,1,1,2,1,1,2,1,1,1,1,2,1,1,2,1,4,1,2,1,1,1,1,3,2,1,3,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,3,2,1,2,3,4,2,1,1,1,1,1,1,2,1,1,1,1,3,2,1,3,2,3,2,3,1,1,2,3,2,3,1,1,1,1,1,1,1,1,3,3,4,1,1,1,1,2,2,1,3,3,1,1,3,3,1,3,1,1,4,1,1,1,1,1,3
4,9,1,4,1,1,5,4,5,1,3,1,5,8,6,3,10,4,8,1,1,18,5,8,4,3,8,6,22,18,4,1,4,1,1,14,3,7,13,1,12,8,3,1,3,8,1,1,1,4,21,1,1,4,1,1,6,8,4,1,1,4,4,1,3,6,7,6,4,1,1,33,6,1,4,1,6,1,1,4,4,1,1,11,4,4,5,1,1,4,21,4,2,1,1,1,1,6,1,1,1,4,13,2,1,8,1,1,19,14,5,17,9,9,4,1,17,4,4,22,1,20,4,2,6,1,1,10
3,13,1,5,1,1,9,3,6,1,6,3,3,7,7,1,3,7,3,1,1,11,1,3,1,1,5,4,8,10,12,1,3,2,2,12,6,4,10,1,3,3,2,1,2,1,1,1,1,6,6,1,2,5,1,1,4,3,5,3,1,3,2,1,1,13,3,12,7,1,1,2,3,1,7,1,4,1,1,3,12,1,3,6,5,12,6,2,2,3,16,12,1,2,2,2,1,5,1,1,1,6,10,7,1,2,1,1,7,7,6,7,4,4,1,3,11,5,3,9,2,6,1,6,1,1,1,12
3,13,1,5,1,1,9,3,6,1,6,3,3,7,7,1,3,7,3,1,1,11,1,3,1,1,5,4,8,10,12,1,3,2,2,12,6,4,10,1,3,3,2,1,2,1,1,1,1,6,6,1,2,5,1,1,4,3,5,3,1,3,2,1,1,13,3,12,7,1,1,2,3,1,7,1,4,1,1,3,12,1,3,6,5,12,6,2,2,3,16,12,1,2,2,1,1,5,1,1,1,6,10,7,1,2,1,1,7,7,6,7,4,4,1,3,11,5,3,9,2,6,1,6,1,1,1,12
2,20,1,2,1,1,25,2,1,1,1,1,2,11,18,3,4,2,27,1,1,30,2,27,2,3,20,3,20,30,5,1,6,1,1,26,4,5,26,1,14,29,3,1,4,9,1,1,1,2,16,1,1,2,1,1,3,27,2,1,1,2,3,1,3,12,2,8,2,1,1,22,4,1,3,1,2,1,1,1,5,1,1,5,6,5,22,1,1,5,12,5,2,1,1,1,1,3,1,1,1,2,26,3,1,24,1,1,10,23,2,4,8,2,2,1,15,2,2,6,1,13,2,3,2,1,1,28
