"","Condition","condition","1","2","3","5","6","7","8","9","11","12","13","14"
"Condition.5HTR","Condition","5HTR",1,0,2,2,2,1,0,8,10,2,11,2
"Condition.ADF/Cofilin","Condition","ADF/Cofilin",6,0,11,10,2,6,0,15,18,1,20,14
"Condition.Arhgef8","Condition","Arhgef8",2,0,6,18,2,2,0,5,3,0,4,7
"Condition.BMP","Condition","BMP",0,0,2,1,0,3,0,14,18,3,13,2
"Condition.Col9a1","Condition","Col9a1",1,0,1,3,1,2,0,4,5,0,1,1
"Condition.Daam","Condition","Daam",3,1,6,4,1,4,0,12,16,1,13,5
"Condition.Ddr","Condition","Ddr",1,0,3,1,1,2,0,4,1,0,5,4
"Condition.Depdc","Condition","Depdc",5,0,20,37,2,9,0,12,8,3,26,52
"Condition.Dync2h","Condition","Dync2h",3,0,4,9,1,2,0,6,13,0,12,3
"Condition.EPB4.1","Condition","EPB4.1",1,0,0,2,0,1,0,5,0,0,1,3
"Condition.Eph","Condition","Eph",3,0,5,12,4,8,0,18,16,5,14,16
"Condition.Ets","Condition","Ets",4,0,11,11,4,12,0,16,21,2,23,12
"Condition.Farp","Condition","Farp",3,0,4,10,2,3,0,5,10,1,7,7
"Condition.Fgfr","Condition","Fgfr",6,0,20,7,3,5,1,5,21,0,33,14
"Condition.Foxf","Condition","Foxf",2,0,4,40,0,9,0,16,9,0,6,13
"Condition.FZD","Condition","FZD",1,0,4,3,2,2,0,11,10,1,19,4
"Condition.Gata","Condition","Gata",0,2,4,17,4,4,0,13,12,0,17,3
"Condition.Gna-L/S","Condition","Gna-L/S",1,1,1,7,1,5,0,5,11,0,17,5
"Condition.Gna12/13","Condition","Gna12/13",1,0,5,10,1,1,1,9,12,0,14,2
"Condition.NDE","Condition","NDE",4,0,1,11,1,1,1,0,3,0,5,4
"Condition.Paxillin","Condition","Paxillin",4,0,14,11,4,7,0,6,10,2,10,13
"Condition.Rab5","Condition","Rab5",1,0,11,8,2,5,0,7,2,1,4,12
"Condition.Rabep","Condition","Rabep",0,0,2,3,1,1,0,1,3,0,0,7
"Condition.Rho","Condition","Rho",7,0,1,18,9,9,0,12,11,0,8,6
"Condition.Rock","Condition","Rock",2,0,1,11,0,4,0,1,1,0,1,7
"Condition.Tol","Condition","Tol",1,0,1,2,1,1,0,14,15,1,18,3
"Condition.Tyrosinase","Condition","Tyrosinase",6,0,18,22,3,11,1,11,16,3,38,31
