"","parameter","condition","1","2","3","5","6","7","8","9","11","12","13","14"
"TVC.division1","TVC.division","enhanced",0,0,0.371618514467623,0.859174963718172,0,0,0,0.579254481814363,0.460688123145992,0,0,0.229962340843904
"TVC.division2","TVC.division","inhibited",0.999948303991923,0.490686125240802,0.0113683905550637,6.09550399469811e-06,0.257045061063908,0.000194201904337217,0.665478925719748,0.000112455791635981,3.71636627532011e-05,0.924002098110334,0.391117346648335,4.32405716810362e-13
"TVC.division3","TVC.division","WT",0.999948303991923,0.143843095406652,0.0238714587251631,1.29637237992349e-05,0.257045061063908,0.000194201904337217,0.665478925719748,0.000112455791635981,3.71636627532011e-05,0.924002098110334,0.391117346648335,2.03869139922165e-11
"TVC.migration1","TVC.migration","inhibited",0.417137543073216,0,0.00561224800969427,0.410883364233404,0.310157914451408,0.00039715295312083,0,3.90701759245966e-06,0.768858506517315,0.735972038075431,0.136121133323799,2.94461691431252e-05
"TVC.migration2","TVC.migration","WT",0.417137543073216,0.586322342328306,0.00937790446060437,0.410883364233404,0.292927148288418,0.00027022439938458,0.586322342328306,2.74793821575798e-06,0.768858506517315,0.735972038075431,0.136121133323799,6.53178047827126e-05
"ATM.division1","ATM.division","enhanced",0.944433752684446,0.762802384745887,5.50396846503736e-09,0.199428337517345,0.182197660009208,0.376933341932776,0,1.16152025681352e-15,0.0363566324376116,0.675552482271455,0.126293359168016,5.88856895801925e-07
"ATM.division2","ATM.division","WT",0.944433752684446,0.261694065691148,6.58313001951171e-08,0.199428337517345,0.246008744810283,0.376933341932776,0.762802384745886,5.31665914051815e-16,0.0363566324376116,0.649138528347375,0.126293359168016,1.35469114270459e-06
"ATM.migration1","ATM.migration","enhanced",0.0106237837173836,0.240843045829029,7.04811599959917e-13,0.257722995026838,0.0035856882341156,0.23922181656031,0,6.99461764976835e-37,1.14394114156864e-08,0.791469894591176,3.82911217232957e-09,1.14633890963368e-09
"ATM.migration2","ATM.migration","WT",0.0187707274659304,0.0555963180503767,1.2349524990602e-11,0.257722995026838,0.010213963656609,0.23922181656031,0.997189252959617,1.85954528540033e-37,8.86726633567007e-09,0.791469894591176,6.58901687488695e-09,2.7847171556614e-09
"other1","other","TVC alignment",0.405244182848522,0,0.653802798661584,4.17071837678113e-13,0.0053555085622612,0.69844861079401,0,0.421916748956575,8.81241524840287e-08,0.757740687817765,6.88669025016760e-09,1.50486502163119e-06
"other2","other","TVC disposition",0.541375216207542,0,0,0.0371626702381238,0.376195171876824,0.924918286568422,0,0.519137076685924,0,0.757740687817765,0.054257254832074,0.957586250628704
"other3","other","WT",0.541375216207542,0.880368506576881,0.676878273955446,5.91751706989892e-15,0.158211869461451,0.69844861079401,0.880368506576881,0.519137076685924,1.33441819150673e-08,0.757740687817765,6.88669025016760e-09,1.50486502163119e-06
