"","Condition","condition","8","11"
"5HTR","Condition","5HTR",-1.03293482220308,0.502748031155623
"ADF/Cofilin","Condition","ADF/Cofilin",0.366035135895381,-0.366055923471187
"Arhgef8","Condition","Arhgef8",-1.14275630522324,0.534808946665267
"BMP","Condition","BMP",-0.398819296477569,0.257592426631514
"Col9a1","Condition","Col9a1",0.937003812612178,-1.82686178474873
"Daam","Condition","Daam",0.350598872241911,-0.350787366831449
"Ddr","Condition","Ddr",0.526848303113571,-0.618594503655213
"Depdc","Condition","Depdc",0.09523880003837,-0.0798920358304998
"Dync2h","Condition","Dync2h",0.0292001649742683,-0.023726561364968
"EPB4.1","Condition","EPB4.1",0.800368683423063,-1.27460474529837
"Eph","Condition","Eph",0.00523543538081075,-0.00419332194014541
"Ets","Condition","Ets",-0.723166872209377,0.411050549001701
"Farp","Condition","Farp",-0.140628120174782,0.103701113056545
"Fgfr","Condition","Fgfr",-0.964154213539967,0.497688499197074
"Foxf","Condition","Foxf",0.479251135583706,-0.520896236094331
"FZD","Condition","FZD",-0.07901870915598,0.0603144851510373
"Gata","Condition","Gata",-0.390452305618057,0.254320754248468
"Gna-L/S","Condition","Gna-L/S",-0.0618064231422428,0.0476304997956872
"Gna12/13","Condition","Gna12/13",-0.11589849978565,0.0866625922365177
"NDE","Condition","NDE",0.394698832100756,-0.412955187095037
"Paxillin","Condition","Paxillin",0.340179799443585,-0.336365009037314
"Rab5","Condition","Rab5",0.550102477455241,-0.648294200082262
"Rabep","Condition","Rabep",0.326910125671893,-0.325901369337311
"Rho","Condition","Rho",-0.375904717886319,0.246824526242823
"Rock","Condition","Rock",0.840726493539243,-1.38920231459842
"Tol","Condition","Tol",-0.14224660687113,0.104848616047422
"Tyrosinase","Condition","Tyrosinase",0.0430110215375309,-0.0351259385362398
