Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100
6,1,51,16,5,4,7,5,43,17,18,5,4,13,18,2,14,43,1,1,1,1,1,10,15,9,5,6,1,2,20,1,4,1,1,32,1,1,39,1,1,44,1,2,6,16,5,5,2,10,11,1,40,1,1,1,1,18,1,14,28,1,2,1,1,12,3,2,1,1,15,1,16,42,5,1,1,1,1,25,22,39,14,53,4,1,1,1,1,13,1,43,5,3,32,1,1,29,4,1
3,1,6,27,3,2,7,3,33,17,15,9,4,13,18,2,14,33,1,1,1,1,1,19,15,15,3,6,1,2,4,1,4,1,1,30,1,1,16,1,1,7,1,2,6,16,5,5,2,10,23,1,9,1,1,1,1,18,1,14,15,1,2,1,1,11,3,2,1,1,11,1,31,10,2,1,1,1,1,2,29,13,14,26,4,1,1,1,1,29,1,12,4,3,30,1,1,10,8,1
2,1,7,24,10,1,3,4,45,8,8,3,16,24,3,3,7,45,2,1,2,1,1,17,9,12,4,2,1,3,6,1,6,1,1,37,2,1,10,1,1,37,1,5,3,5,7,14,1,7,2,1,24,2,1,1,1,5,1,3,26,1,4,2,1,3,2,3,1,1,35,1,37,43,3,3,1,1,1,8,7,43,5,28,2,1,1,1,3,37,2,16,3,1,37,1,1,16,3,1
1,1,5,6,1,3,1,1,1,2,1,1,14,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,3,1,2,1,1,2,2,1,2,1,1,17,1,1,1,1,4,1,3,3,1,1,2,2,1,1,1,1,1,1,13,1,1,3,1,1,1,1,1,1,1,1,27,18,1,2,1,1,1,1,1,2,12,8,1,1,1,1,2,4,2,4,1,4,2,1,1,2,1,1
2,1,4,1,4,1,3,4,2,3,6,3,1,2,33,3,26,2,2,1,2,1,1,7,2,7,4,2,1,3,1,1,1,1,1,1,2,1,1,1,1,31,1,3,3,6,1,2,1,1,2,1,1,1,1,1,1,34,1,3,1,1,4,2,1,3,2,3,1,1,7,1,30,28,3,3,1,1,1,3,4,1,5,1,2,1,1,1,3,46,1,5,3,1,1,1,1,18,3,1
1,1,40,12,1,3,1,1,1,34,1,1,20,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,3,1,2,1,1,2,2,1,2,1,1,38,1,1,1,1,4,1,3,28,1,1,2,2,1,1,1,1,1,1,5,1,1,3,1,1,1,1,1,1,1,1,15,18,1,2,1,1,1,1,35,2,1,5,23,1,1,1,2,2,2,38,1,4,2,1,1,2,1,1
3,1,33,35,3,4,7,5,42,31,20,5,38,15,13,2,15,42,1,1,1,1,1,10,3,20,5,6,1,2,18,1,16,1,1,7,1,1,7,1,1,40,1,2,6,7,12,5,2,10,29,1,25,1,1,1,1,11,1,7,22,1,2,1,1,11,3,2,1,1,34,1,11,8,5,1,1,1,1,2,24,25,18,25,4,1,1,1,1,41,1,34,4,3,7,1,1,14,8,1
6,1,31,4,8,4,8,7,17,18,14,6,35,26,12,6,23,17,2,1,2,1,1,41,21,13,5,8,1,1,30,1,19,1,1,6,2,1,24,1,1,21,1,5,5,14,23,3,3,18,17,1,15,2,1,1,1,12,1,13,17,1,1,2,1,5,1,1,1,1,19,1,6,20,4,2,1,1,1,12,38,15,16,13,17,1,1,1,1,32,2,40,7,2,6,1,1,27,7,1
5,1,8,15,7,3,4,6,12,22,13,4,10,9,16,7,4,12,1,1,1,1,1,18,8,5,6,4,1,1,12,1,22,1,1,15,2,1,14,1,1,4,1,2,8,2,21,6,2,4,8,1,4,2,1,1,1,15,1,5,12,1,1,1,1,8,1,1,1,1,16,1,19,4,6,1,1,1,1,4,20,5,6,17,9,1,1,1,2,14,2,11,6,3,15,1,1,21,6,1
9,1,35,46,15,3,1,1,10,20,42,1,37,10,43,1,25,10,2,1,2,1,1,24,14,17,1,8,1,1,50,1,37,1,1,34,2,1,17,1,1,42,1,1,1,4,34,18,3,20,26,1,10,2,1,1,1,44,1,19,14,1,1,3,1,23,1,1,1,1,36,1,25,46,1,2,1,1,1,23,48,8,29,6,26,1,1,1,2,33,2,36,7,2,34,1,1,34,7,1
6,1,2,45,5,4,6,5,29,28,39,5,46,45,45,5,19,29,2,1,2,1,1,14,25,22,5,8,1,1,53,1,10,1,1,7,2,1,42,1,1,50,1,5,5,20,28,17,2,11,29,1,37,1,1,1,1,46,1,21,30,1,6,2,1,20,1,2,1,1,42,1,34,22,5,3,1,1,1,2,45,37,8,36,29,1,1,1,1,39,1,17,7,2,7,1,1,39,4,1
2,1,15,8,9,2,5,3,9,12,8,7,26,42,21,2,20,9,2,1,2,1,1,23,4,11,4,7,1,4,46,1,18,1,1,13,2,1,20,1,1,32,1,3,4,11,18,14,2,7,16,1,11,1,1,1,1,33,1,10,18,1,4,2,1,21,3,3,1,1,4,1,12,32,2,3,1,1,1,22,10,4,19,15,2,1,1,1,3,15,1,14,8,3,13,1,1,5,5,1
