"","Condition","condition","7","8"
"1","Condition","5HTR",0.00879076143877478,0.0188158308515081
"2","Condition","ADF/Cofilin",0.0255184885210156,0.0450276627174161
"3","Condition","Arhgef8",0.0229861407888025,0.0103419668404614
"4","Condition","BMP",0.0109510340566198,0.0204063300274137
"5","Condition","Col9a1",0.561322059819344,0.274771946871889
"6","Condition","Daam",0.0280365315089351,0.051117675412583
"7","Condition","Ddr",0.561322059819344,0.274771946871889
"8","Condition","Depdc",0.683924204010032,0.611314369150348
"9","Condition","Dync2h",0.787465175834598,0.646927346553065
"10","Condition","EPB4.1",0.577526728691706,0.815483370585792
"11","Condition","Eph",0.608745200998606,0.687542008731632
"12","Condition","Ets",0.787465175834598,0.687542008731632
"13","Condition","Farp",0.0993673960171426,0.0499027842736179
"14","Condition","Fgfr",1.90263720064158e-05,4.94738012048258e-05
"15","Condition","Foxf",0.00126821611724045,0.000651742291069898
"16","Condition","FZD",0.000872848238882061,0.00143255214752527
"17","Condition","Gata",0.400977918782634,0.256675332650824
"18","Condition","Gna-L/S",0.879433602892098,0.895599164750142
"19","Condition","Gna12/13",0.366974233753523,0.426395195759259
"20","Condition","NDE",0.669585868172053,0.452482795012034
"21","Condition","Paxillin",0.608745200998606,0.452482795012034
"22","Condition","Rab5",0.401752908917839,0.256675332650824
"23","Condition","Rabep",0.608745200998606,0.330080061757937
"24","Condition","Rho",0.00322517868907258,0.00143255214752527
"25","Condition","Rock",0.0229861407888025,0.00750611851399336
"26","Condition","Tol",3.51403330428568e-06,1.55533286086461e-05
"27","Condition","Tyrosinase",0.00322517868907258,0.00143255214752527
