"","Condition","condition","7","8"
"Condition.5HTR","Condition","5HTR",16,25
"Condition.ADF/Cofilin","Condition","ADF/Cofilin",51,52
"Condition.Arhgef8","Condition","Arhgef8",39,10
"Condition.BMP","Condition","BMP",24,32
"Condition.Col9a1","Condition","Col9a1",14,5
"Condition.Daam","Condition","Daam",31,35
"Condition.Ddr","Condition","Ddr",16,6
"Condition.Depdc","Condition","Depdc",110,64
"Condition.Dync2h","Condition","Dync2h",34,19
"Condition.EPB4.1","Condition","EPB4.1",7,6
"Condition.Eph","Condition","Eph",59,42
"Condition.Ets","Condition","Ets",73,43
"Condition.Farp","Condition","Farp",39,13
"Condition.Fgfr","Condition","Fgfr",46,69
"Condition.Foxf","Condition","Foxf",78,21
"Condition.FZD","Condition","FZD",21,36
"Condition.Gata","Condition","Gata",52,24
"Condition.Gna-L/S","Condition","Gna-L/S",33,21
"Condition.Gna12/13","Condition","Gna12/13",30,26
"Condition.NDE","Condition","NDE",21,10
"Condition.Paxillin","Condition","Paxillin",53,28
"Condition.Rab5","Condition","Rab5",37,16
"Condition.Rabep","Condition","Rabep",13,5
"Condition.Rho","Condition","Rho",64,17
"Condition.Rock","Condition","Rock",24,4
"Condition.Tol","Condition","Tol",16,41
"Condition.Tyrosinase","Condition","Tyrosinase",118,42
