"","khid.x","khid.y","name.x","name.y"
"1","KH2013:KH.S742.2","KH2013:KH.L20.1","Fgfr","Gata"
"2","KH2013:KH.L37.10","KH2013:KH.L22.59","Gna12.13","Rab5"
"3","KH2013:KH.L37.10","KH2013:KH.C7.324","Gna12.13","Rock"
"4","KH2013:KH.L20.1","KH2013:KH.C7.324","Gata","Rock"
"5","KH2013:KH.L37.10","KH2013:KH.L37.10","Gna12.13","Gna12.13"
"6","KH2013:KH.C7.324","KH2013:KH.L37.10","Rock","Gna12.13"
"7","KH2013:KH.L22.59","KH2013:KH.L37.10","Rab5","Gna12.13"
"8","KH2013:KH.C12.469","KH2013:KH.L121.2","Tyrosinase","GNA.L.S"
"9","KH2013:KH.L37.10","KH2013:KH.L121.2","Gna12.13","GNA.L.S"
"11","KH2013:KH.L20.1","KH2013:KH.L20.1","Gata","Gata"
"13","KH2013:KH.C7.324","KH2013:KH.L20.1","Rock","Gata"
"14","KH2013:KH.C7.324","KH2013:KH.C8.840","Rock","Arhgef8"
"15","KH2013:KH.C2.651","KH2013:KH.C8.840","Rho","Arhgef8"
"16","KH2013:KH.C8.441","KH2013:KH.C8.840","Farp","Arhgef8"
"17","KH2013:KH.L20.1","KH2013:KH.C3.170","Gata","Foxf"
"19","KH2013:KH.L37.10","KH2013:KH.C6.162","Gna12.13","Fzd"
"21","KH2013:KH.C12.469","KH2013:KH.C6.162","Tyrosinase","Fzd"
"22","KH2013:KH.L22.59","KH2013:KH.C6.162","Rab5","Fzd"
"23","KH2013:KH.C7.324","KH2013:KH.C6.162","Rock","Fzd"
"24","KH2013:KH.S742.2","KH2013:KH.C6.162","Fgfr","Fzd"
"25","KH2013:KH.C2.651","KH2013:KH.C8.248","Rho","Col9a1"
"26","KH2013:KH.C8.248","KH2013:KH.C8.248","Col9a1","Col9a1"
"29","KH2013:KH.C3.170","KH2013:KH.L20.1","Foxf","Gata"
"31","KH2013:KH.C8.840","KH2013:KH.C7.324","Arhgef8","Rock"
"32","KH2013:KH.C7.324","KH2013:KH.C7.324","Rock","Rock"
"36","KH2013:KH.C6.162","KH2013:KH.C7.324","Fzd","Rock"
